topic_id,název,persona,funnel,primární_cta,hlavní_keyword,otázka_1,otázka_2,otázka_3
01,"Kolik vás stojí tichá fluktuace: jednoduchý ROI model pro české firmy",CEO,TOFU,Otestovat 1 tým zdarma,náklady fluktuace zaměstnanců,"Kolik reálně stojí odchod jednoho zaměstnance v Kč?","Jak spočítat skryté náklady fluktuace?","Kdy se vyplatí investovat do prevence?"
02,"Co se děje 3 měsíce před výpovědí: signály které firmy běžně nevidí",CEO,TOFU,Otestovat 1 tým zdarma,signály odchodu zaměstnanců,"Jaké chování předchází výpovědi?","Proč manažeři signály nevidí?","Jak signály zachytit systematicky?"
03,"Engagement není spokojenost: co opravdu předpovídá výkon a odchody",CEO,TOFU,Otestovat 1 tým zdarma,employee engagement vs spokojenost,"Jaký je rozdíl mezi engagementem a spokojeností?","Proč spokojení zaměstnanci odcházejí?","Co engagement znamená pro byznys výsledky?"
04,"Manažer dělá 70 % engagementu: jak to měřit bez zničení důvěry",CEO,TOFU,Rezervovat demo,vliv manažera na engagement,"Proč je manažer klíčový pro engagement?","Jak měřit manažerský dopad bez blame culture?","Co dělat s výsledky?"
05,"Proč roční průzkumy často nic nezmění (a kdy mají smysl)",CEO,TOFU,Otestovat 1 tým zdarma,roční průzkum spokojenosti zaměstnanců,"Proč roční průzkumy ztrácejí relevanci?","Kdy roční průzkum dává smysl?","Jaká je alternativa?"
06,"Jak nastavit pulse v české firmě: cadence komunikace role a odpovědnosti",HR,MOFU,Rezervovat demo,pulse survey implementace,"Jakou cadenci zvolit?","Jak komunikovat pulse zaměstnancům?","Kdo je za co odpovědný?"
07,"Anonymita a důvěra: co lidem říct aby odpovídali pravdivě",HR,MOFU,Otestovat 1 tým zdarma,anonymita průzkumu zaměstnanců,"Jak zajistit důvěru v anonymitu?","Co konkrétně říct zaměstnancům?","Jak funguje anonymita technicky?"
08,"Jak dosáhnout 70–80% účasti bez nátlaku: 10 konkrétních taktik",HR,MOFU,Otestovat 1 tým zdarma,účast v pulse survey,"Co ovlivňuje míru odpovědí?","Jak zvýšit účast bez tlaku?","Jaká účast je dostatečná?"
09,"Co dělat po výsledcích: 30denní akční plán krok za krokem",HR,MOFU,Rezervovat demo,akční plán po průzkumu,"Co dělat v prvních 48 hodinách?","Jak komunikovat výsledky manažerům?","Jak zajistit follow-through?"
10,"Jak pracovat s výsledky s manažery aby nebyli defenzivní",HR,MOFU,Rezervovat demo,práce s manažery po průzkumu,"Proč manažeři reagují defenzivně?","Jak vést rozhovor o výsledcích?","Jak vytvořit bezpečné prostředí pro zpětnou vazbu?"
